Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
0000016d-3a85-4cca-0000-000000000000,ef58ea08-d883-3957-8300-150554edc8fb,Beatriz277 Ortega866,F,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,478
0000016d-3a85-4cca-0000-00000000000a,69176529-fd1f-3b3f-abce-a0a3626769eb,Buford910 Feil794,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,1199
0000016d-3a85-4cca-0000-000000000014,5e765f2b-e908-3888-9fc7-df2cb87beb58,Therese102 Bahringer146,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,1348
0000016d-3a85-4cca-0000-00000000001e,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Cedrick207 Lind531,M,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,1923
0000016d-3a85-4cca-0000-000000000028,e002090d-4e92-300e-b41e-7d1f21dee4c6,José3 Valentín837,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,1098
0000016d-3a85-4cca-0000-000000000032,ef6ab57c-ed94-3dbe-9861-812d515918b3,Cody889 Marquardt819,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,1894
0000016d-3a85-4cca-0000-00000000003c,49318f80-bd8b-3fc7-a096-ac43088b0c12,Malcolm243 Wilderman619,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1125
0000016d-3a85-4cca-0000-000000000046,fbf6180e-b800-3ebe-b91d-93d0288c400e,Matt836 Dooley940,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,1178
0000016d-3a85-4cca-0000-000000000050,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Stevie682 Homenick806,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,492
0000016d-3a85-4cca-0000-00000000005a,4bdaa4c2-c664-3089-aee2-7137abbad27f,Reuben327 Brown30,M,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,730
0000016d-3a85-4cca-0000-000000000064,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Armando772 Armenta418,M,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,1925
0000016d-3a85-4cca-0000-00000000006e,5d4b9df1-93ae-3bc9-b680-03249990e558,Isiah14 Jakubowski832,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,1238
0000016d-3a85-4cca-0000-000000000078,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Antoine384 Bahringer146,M,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,1748
0000016d-3a85-4cca-0000-000000000082,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Jorge203 Hernández971,M,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,2270
0000016d-3a85-4cca-0000-00000000008c,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Wayne846 Kessler503,M,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,458
0000016d-3a85-4cca-0000-000000000096,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Yanira774 Mills423,F,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,2799
0000016d-3a85-4cca-0000-0000000000a0,4861d01f-019c-3dac-a153-8334e50919f9,Bobby524 Kohler843,M,GENERAL PRACTICE,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,6036
0000016d-3a85-4cca-0000-0000000000aa,a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,Jacquelyn628 Pouros728,F,GENERAL PRACTICE,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,398
0000016d-3a85-4cca-0000-0000000000b4,4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,Jamar151 Oberbrunner298,M,GENERAL PRACTICE,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,-73.26054,1703
0000016d-3a85-4cca-0000-0000000000be,f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,Jamaal34 Funk324,M,GENERAL PRACTICE,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,-71.547214,1273
0000016d-3a85-4cca-0000-0000000000c8,c44f361c-2efb-3050-8f97-0354a12e2920,Amos720 Towne435,M,GENERAL PRACTICE,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,1587
0000016d-3a85-4cca-0000-0000000000d2,331f4c11-d298-308b-aaa1-d7825b29b57f,Saul605 Reynolds644,M,GENERAL PRACTICE,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,-71.690005,5513
0000016d-3a85-4cca-0000-0000000000dc,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,César846 Serrato62,M,GENERAL PRACTICE,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,4001
0000016d-3a85-4cca-0000-0000000000e6,6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,Ashley34 Hamill307,M,GENERAL PRACTICE,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,-71.807783,508
0000016d-3a85-4cca-0000-0000000000f0,b0e04623-b02c-3f8b-92ea-943fc4db60da,Margene509 Heller342,F,GENERAL PRACTICE,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,1273
0000016d-3a85-4cca-0000-0000000000fa,ebc3f5c4-6700-34af-8323-85621c313726,Shawn523 Luettgen772,M,GENERAL PRACTICE,115 WEST SILVER STREET,WESTFIELD,MA,01085,42.138838,-72.755911,1155
0000016d-3a85-4cca-0000-000000000104,fd328395-ab1d-35c6-a2d0-d05a9a79cf11,Alicia629 Effertz744,F,GENERAL PRACTICE,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,1647
0000016d-3a85-4cca-0000-00000000010e,d692e283-0833-3201-8e55-4f868a9c0736,Renato359 Jenkins714,M,GENERAL PRACTICE,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,8785
0000016d-3a85-4cca-0000-000000000118,d78e84ec-30aa-3bba-a33a-f29a3a454662,Candance389 Borer986,F,GENERAL PRACTICE,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,416
0000016d-3a85-4cca-0000-000000000122,8ad64ecf-c817-3753-bee7-006a8e662e06,Bennett146 Breitenberg711,M,GENERAL PRACTICE,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,925
0000016d-3a85-4cca-0000-00000000012c,23834663-ed53-3da9-b330-d6e1ecb8428e,Cara845 Ruecker817,F,GENERAL PRACTICE,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,1289
0000016d-3a85-4cca-0000-000000000136,44bef9d3-91c2-3005-93e0-ccf436348ff0,Lourdes258 Reyna401,F,GENERAL PRACTICE,243 CHARLES STREET,BOSTON,MA,02114,42.33196,-71.020173,497
0000016d-3a85-4cca-0000-000000000140,60457c13-adb2-3415-82c5-86ab5dab5f93,Mira443 Pacocha935,F,GENERAL PRACTICE,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,-72.539978,1466
0000016d-3a85-4cca-0000-00000000014a,a9f20dc1-5147-3789-bcef-bbecb41c5983,Roberto515 Haag279,M,GENERAL PRACTICE,70 EAST STREET,METHUEN,MA,01844,42.742751,-71.178588,1115
0000016d-3a85-4cca-0000-000000000154,7fb56531-86bd-3e4a-8619-4df9942da309,Thurman577 Berge125,M,GENERAL PRACTICE,148 CHESTNUT STREET,NEEDHAM,MA,02494,42.281593,-71.242414,867
0000016d-3a85-4cca-0000-00000000015e,03347b4d-994e-302b-848b-58019a4e274d,Tabatha105 Becker968,F,GENERAL PRACTICE,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,-71.807783,438
0000016d-3a85-4cca-0000-000000000168,cb6a50e0-af76-3758-99ad-3200ede03fff,Tanner110 Erdman779,M,GENERAL PRACTICE,330 BROOKLINE AVENUE,BOSTON,MA,02215,42.33196,-71.020173,610
0000016d-3a85-4cca-0000-000000000172,9a7149fa-49fc-3c87-b935-d29c55808717,Coy949 Ratke343,M,GENERAL PRACTICE,125 PARKER HILL AVENUE,BOSTON,MA,02120,42.33196,-71.020173,258
0000016d-3a85-4cca-0000-00000000017c,24cb4eab-6166-3530-bddc-a5a8a14a4fc1,Kymberly381 Nolan344,F,GENERAL PRACTICE,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,-71.521419,6017
0000016d-3a85-4cca-0000-000000000186,e44f438a-601b-30fb-85eb-bfaf8ddcb5ad,Tennille443 Monahan736,F,GENERAL PRACTICE,242 GREEN STREET,GARDNER,MA,01440,42.586516,-71.988062,1254
0000016d-3a85-4cca-0000-000000000190,ac8356a5-78f8-3a63-8a1e-59e832fd54e7,Stephaine613 Hoeger474,F,GENERAL PRACTICE,200 GROTON ROAD,AYER,MA,01432,42.562221,-71.58484399999998,2398
0000016d-3a85-4cca-0000-00000000019a,db0acede-4abe-3c01-8d03-5c68a190d8c7,Candyce305 Prohaska837,F,GENERAL PRACTICE,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,42.24158900000001,-71.082651,739
0000016d-3a85-4cca-0000-0000000001a4,3d10019f-c88e-3de5-9916-6107b9c0263d,Genevieve884 Cummerata161,F,GENERAL PRACTICE,2014 WASHINGTON STREET,NEWTON,MA,02462,42.331876,-71.208402,1090
0000016d-3a85-4cca-0000-0000000001ae,f4e7709c-02f6-37ca-aeea-8247d74e88e7,Leonard963 Rice937,M,GENERAL PRACTICE,41 HIGHLAND AVENUE,WINCHESTER,MA,01890,42.452752,-71.144319,1651
0000016d-3a85-4cca-0000-0000000001b8,12c9daf5-a29c-36c9-ac55-28972463e566,Juana825 Benavídez820,F,GENERAL PRACTICE,199 REEDSDALE ROAD,MILTON,MA,02186,42.24158900000001,-71.082651,1521
0000016d-3a85-4cca-0000-0000000001c2,27379046-608b-32f0-9df7-8c833cf5d11d,Luz785 Garibay313,F,GENERAL PRACTICE,75 FRANCIS STREET,BOSTON,MA,02115,42.33196,-71.020173,359
0000016d-3a85-4cca-0000-0000000001cc,226098a2-6a40-3588-b5bb-db56c3a30a04,Gillian484 Satterfield305,F,GENERAL PRACTICE,235 NORTH PEARL STREET,BROCKTON,MA,02301,42.082543,-71.024638,2043
0000016d-3a85-4cca-0000-0000000001d6,b7175ab4-bde5-3848-891b-579bccb77c7c,Preston275 Halvorson124,M,GENERAL PRACTICE,800 WASHINGTON STREET,BOSTON,MA,02111,42.33196,-71.020173,438
0000016d-3a85-4cca-0000-0000000001e0,d733d4a9-080d-3593-b910-2366e652b7ea,Darin74 Hermiston71,M,GENERAL PRACTICE,1153 CENTRE STREET,BOSTON,MA,02130,42.33196,-71.020173,408
0000016d-3a85-4cca-0000-0000000001ea,3bd5eda0-16da-3ba5-8500-4dfd6ae118b8,Carmina141 Oberbrunner298,F,GENERAL PRACTICE,800 WASHINGTON STREET,NORWOOD,MA,02062,42.18736,-71.195955,2454
0000016d-3a85-4cca-0000-0000000001f4,d5117822-5756-389d-9547-891a372d580f,Carlos172 Harber290,M,GENERAL PRACTICE,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,02540,41.57072,-70.556682,970
0000016d-3a85-4cca-0000-0000000001fe,f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,Jolanda321 Johnston597,F,GENERAL PRACTICE,55 LAKE AVENUE NORTH,WORCESTER,MA,01655,42.269478,-71.807783,699
0000016d-3a85-4cca-0000-000000000208,6f122869-a856-3d65-8db9-099bf4f5bbb8,Charolette797 Schaden604,F,GENERAL PRACTICE,41 & 45 MALL ROAD,BURLINGTON,MA,01803,42.503227,-71.201713,1378
0000016d-3a85-4cca-0000-000000000212,465de31f-3098-365c-af70-48a071e1f5aa,Hoa730 Wiegand701,F,GENERAL PRACTICE,115 LINCOLN STREET,FRAMINGHAM,MA,01701,42.307905,-71.436196,1438
0000016d-3a85-4cca-0000-00000000021c,1eaf97fa-9de6-38de-a9c4-6efe5dc574be,Camila223 Bahringer146,F,GENERAL PRACTICE,123 SUMMER STREET,WORCESTER,MA,01608,42.269478,-71.807783,495
0000016d-3a85-4cca-0000-000000000226,80e919cc-df1a-3838-b75e-541564a286e5,Lanny564 Huels583,M,GENERAL PRACTICE,57 PROSPECT STREET,NANTUCKET,MA,02554,41.293416,-70.10216899999999,2644
0000016d-3a85-4cca-0000-00000000023a,56e0b3b3-4fac-3776-8fc9-7b465eb2fc17,Emory494 Jenkins714,M,GENERAL PRACTICE,29 LEWIS AVENUE,GREAT BARRINGTON,MA,01230,42.19397,-73.361473,149
0000016d-3a85-4cca-0000-000000000244,161a799c-4894-36f6-8ca7-2a71c8107f79,Holley125 Rolfson709,F,GENERAL PRACTICE,2033 MAIN STREET,ATHOL,MA,01331,42.593384,-72.230228,678
0000016d-3a85-4cca-0000-00000000024e,956ccb85-bea0-30f9-af48-52f5dd95ff72,Barbie211 Kuhic920,F,GENERAL PRACTICE,30 WARREN STREET,BRIGHTON,MA,02135,42.33196,-71.020173,254
0000016d-3a85-4cca-0000-000000000258,d7b11827-25f2-350b-bcd8-939fc59851b0,Rodrigo242 Echevarría842,M,GENERAL PRACTICE,300 LONGWOOD AVENUE,BOSTON,MA,02115,42.33196,-71.020173,283
0000016d-3a85-4cca-0000-000000000262,5103c940-0c08-392f-95cd-446e0cea042a,Timmy68 Treutel973,M,GENERAL PRACTICE,516 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,1324
0000016d-3a85-4cca-0000-00000000026c,ff9863d3-3fa3-3861-900e-f00148f5d9c2,Chauncey770 Waelchi213,M,GENERAL PRACTICE,51 BLOSSOM STREET,BOSTON,MA,02114,42.33196,-71.020173,622
0000016d-3a85-4cca-0000-00000000028a,be4c63f3-8d38-3fa9-a183-62045b5c85f6,Therese102 Bahringer146,F,GENERAL PRACTICE,150 South Huntington Avenue,Jamaica Plain,MA,02130,42.32809,-71.11076,1
0000016d-3a85-4cca-0000-0000000002a8,05462bf2-25d4-3ecd-afdf-bb3e1140929a,Cody889 Marquardt819,M,GENERAL PRACTICE,251 Causeway St.,Boston,MA,02114,42.3665,-71.05931,37
0000016d-3a85-4cca-0000-0000000002c6,53b25c4b-e95f-3dd1-8e69-d427cdd83631,Stevie682 Homenick806,F,GENERAL PRACTICE,61 Lincoln Street  Suite 112,Framingham,MA,01702,42.28348,-71.41845,336
